="",="count",="mean",="sd",="min",="p50",="max"
="duration_min",="429",="32.82086",="185.9511",="2.05",="6.716667",="2667.317"
="detect_easy",="414",="42.0314",="23.66363",="0",="44",="100"
="ai_literacy",="406",="45.91872",="25.03372",="0",="49",="100"
="score",="429",="6.972028",="1.588263",="2",="7",="10"
="avg_resp_time",="429",="25.98098",="21.87105",="5.3068",="20.0684",="187.4519"
="avg_conf",="429",="6.151981",="1.549126",="1",="6.2",="10"
="tp_count",="429",="3.692308",="1.454436",="0",="4",="9"
="tn_count",="429",="3.27972",="1.386208",="0",="3",="7"
="fp_count",="429",="1.734266",="1.378834",="0",="2",="7"
="fn_count",="429",="1.293706",="1.130496",="0",="1",="6"
="tp_rate",="428",=".7443795",=".2106283",="0",=".75",="1"
="tn_rate",="429",=".670536",=".2413374",="0",=".6666667",="1"
="ai_img_seen",="429",="4.986014",="1.533059",="0",="5",="9"
="real_img_seen",="429",="5.013986",="1.533059",="1",="5",="10"
="attn_conf1",="428",="8.310748",="2.308558",="0",="10",="10"
="attn_conf2",="428",="8.948598",="1.806098",="1",="10",="10"
="N",="429",="",="",="",="",=""
