="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="m0",="m1a",="m1b",="m2",="m3a",="m3b",="m3c",="m4",="m5"
="Detection score: TP+TN correct responses (0-10)",="",="",="",="",="",="",="",="",=""
="Man",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Woman",="-0.038",="0.014",="-0.040",="0.003",="0.023",="0.021",="0.047",="0.039",="0.039"
="",="(0.108)",="(0.108)",="(0.108)",="(0.108)",="(0.110)",="(0.113)",="(0.114)",="(0.115)",="(0.115)"
="Other",="0.202",="0.280",="0.224",="0.281",="0.348",="0.287",="0.369",="0.344",="0.344"
="",="(0.276)",="(0.278)",="(0.269)",="(0.271)",="(0.282)",="(0.271)",="(0.283)",="(0.286)",="(0.285)"
="White",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Asian",="0.063",="-0.024",="0.005",="-0.050",="-0.071",="-0.052",="-0.069",="-0.085",="-0.084"
="",="(0.133)",="(0.137)",="(0.130)",="(0.134)",="(0.138)",="(0.134)",="(0.136)",="(0.135)",="(0.139)"
="Black or African American",="0.289",="0.241",="0.296",="0.255",="0.234",="0.230",="0.203",="0.180",="0.178"
="",="(0.317)",="(0.342)",="(0.325)",="(0.344)",="(0.351)",="(0.351)",="(0.363)",="(0.359)",="(0.366)"
="Hispanic or Latino",="0.429**",="0.405**",="0.401**",="0.389**",="0.390*",="0.383*",="0.388*",="0.367*",="0.367*"
="",="(0.150)",="(0.153)",="(0.147)",="(0.150)",="(0.152)",="(0.153)",="(0.153)",="(0.152)",="(0.152)"
="Two or more races",="0.321*",="0.220",="0.267",="0.199",="0.198",="0.206",="0.205",="0.197",="0.197"
="",="(0.160)",="(0.166)",="(0.163)",="(0.167)",="(0.166)",="(0.167)",="(0.168)",="(0.168)",="(0.168)"
="Other",="-0.126",="-0.074",="-0.255",="-0.177",="-0.258",="-0.171",="-0.208",="-0.178",="-0.179"
="",="(0.362)",="(0.319)",="(0.369)",="(0.331)",="(0.309)",="(0.330)",="(0.323)",="(0.339)",="(0.337)"
